Donation ID,First_Name,Last_Name,Phone Number,Gender,Class Year,Marital Status,Major,Next Degree,FY04Giving,FY03Giving,FY02Giving,FY01Giving,FY00Giving,AttendenceEvent,,,,,,,,,,,,,
1001,Frodo,Baggins,123-545-5421,M,1957,M,History,LLB,2500,2500,1400,12060,12000,1,,,,,,,,,,,,,
1002,Abed,Nadir,123/643/9775,M,1957,M,Physics,MS,5000,5000,5000,5000,10000,1,,,,,,,,,,,,,
1003,Walter,/White,7066950392,F,1957,M,Music,NONE,5000,5000,5000,5000,10000,1,,,,,,,,,,,,,
1004,Dwight,Schrute,123-543-2345,M,1957,M,History,NONE,0,5100,200,200,0,1,,,,,,,,,,,,,
1005,Jon,Snow,876|678|3469,M,1957,M,Biology,MD,1000,1000,1000,1005,1000,1,,,,,,,,,,,,,
1006,Ron,Swanson,304-762-2467,F,1957,M,Mathematics,NONE,0,0,0,0,0,0,,,,,,,,,,,,,
1007,Jeff,  Winger,N/a,F,1957,S,History,MA,0,0,0,0,0,0,,,,,,,,,,,,,
1008,Sherlock,Holmes,876|678|3469,F,1957,M,Music,NONE,100,100,100,100,100,0,,,,,,,,,,,,,
1009,William,Adams,N/a,M,1957,M,Spanish,NONE,100,100,100,100,100,0,,,,,,,,,,,,,
1010,Xavier,Carter,123-545-5421,M,1957,M,English,NONE,0,0,0,0,0,1,,,,,,,,,,,,,
1011,Yosef,Mitchell,N/a,F,1957,M,Mathematics,TC,0,0,0,0,0,1,,,,,,,,,,,,,
1012,Harry,...Potter,7066950392,F,1957,M,Psychology,NONE,0,0,0,0,0,1,,,,,,,,,,,,,
1013,Don,Draper,123-543-2345,M,1957,M,Economics-Business,NONE,0,0,0,0,0,0,,,,,,,,,,,,,
1014,Leslie,Knope,876|678|3469,M,1957,M,Biology,PHD,1500,1500,1500,1500,1000,1,,,,,,,,,,,,,
1015,Toby,Flenderson_,304-762-2467,F,1957,M,English,MLS,1500,1500,1500,1500,1000,1,,,,,,,,,,,,,
1016,Ron,Weasley,123-545-5421,F,1957,M,Comparative Literature,NONE,0,0,0,0,0,1,,,,,,,,,,,,,
1017,Michael ,Scott,123/643/9775,M,1957,D,Mathematics,PHD,0,0,0,0,0,0,,,,,,,,,,,,,
1018,Clark,Kent,7066950392,M,1957,M,Psychology,JD,158,157,156,160,154,0,,,,,,,,,,,,,
1019,Creed,Braton,N/a,F,1957,W,Sociology,ME,1500,1500,1000,500,500,1,,,,,,,,,,,,,
1020,Anakin,Skywalker,304-762-2468,M,1957,M,Philosophy-Religion,STM,100,100,100,100,100,0,,,,,,,,,,,,,
1020,Anakin,Skywalker,304-762-2469,F,1957,M,Sociology,NONE,0,150,50,50,0,0,,,,,,,,,,,,,
1022,Chadwick,Johnson,304-762-2470,F,1957,M,English,MA,500,500,400,350,300,1,,,,,,,,,,,,,
1023,Chawla,Thomas,304-762-2471,M,1957,M,Economics-Business,NONE,150,75,0,150,75,0,,,,,,,,,,,,,
1024,Zachary,Brown,304-762-2472,M,1957,M,Economics-Business,MBA,0,50,0,50,100,1,,,,,,,,,,,,,
1025,Ulysses,Hall,304-762-2473,F,1957,W,Education,NONE,50,50,50,50,50,0,,,,,,,,,,,,,
1026,Patrick,Ulysses,304-762-2474,M,1957,M,Physical Education,MA,0,50,0,0,0,0,,,,,,,,,,,,,
1027,Patrick ,Young,304-762-2475,F,1957,M,Education,NONE,360,357,335,300,285,1,,,,,,,,,,,,,
1028,David,Allen,304-762-2476,M,1957,M,Economics-Business,NONE,0,0,0,0,0,0,,,,,,,,,,,,,
1029,Amelia,Wilson,304-762-2477,F,1957,W,English,NONE,0,0,0,0,0,0,,,,,,,,,,,,,
1030,Bella,Smith,304-762-2478,M,1957,M,English,MA,0,0,0,0,0,1,,,,,,,,,,,,,
1031,Chloe,Johnson,304-762-2479,M,1957,M,English,PHD,25,50,25,25,25,0,,,,,,,,,,,,,
1032,Daisy,Davis,304-762-2480,F,1957,M,Zoology,UMDS,0,0,0,0,0,0,,,,,,,,,,,,,
1033,Emma,Martinez,304-762-2481,M,1957,M,History,NONE,1500,1500,250,455,200,0,,,,,,,,,,,,,
1034,Faith,Turner,304-762-2482,F,1957,M,Political Science,MS,0,200,0,0,0,0,,,,,,,,,,,,,
1035,Grace,Harris,304-762-2483,M,1957,M,General Science,NONE,0,0,1000,1070,0,1,,,,,,,,,,,,,
1036,Hannah,Anderson,304-762-2484,F,1957,M,Education,ME,0,0,0,0,0,1,,,,,,,,,,,,,
1037,Isabella,Taylor,304-762-2485,M,1957,M,Mathematics-Physics,PHD,0,0,25,50,25,0,,,,,,,,,,,,,
1038,Jasmine,Brown,304-762-2486,M,1957,M,History,UBDS,0,50,0,0,0,0,,,,,,,,,,,,,
1039,Kayla,White,304-762-2487,M,1957,M,Psychology,NONE,175,180,175,175,175,1,,,,,,,,,,,,,
1040,Lily,Thomas,304-762-2488,M,1957,D,History,PHD,158,162,160,155,154,0,,,,,,,,,,,,,
1041,Mia,Clark,304-762-2489,M,1957,M,English,MA,100,100,50,100,100,1,,,,,,,,,,,,,
1042,Natalie,Martin,304-762-2490,M,1957,M,History,LLB,0,157,250,315,160,1,,,,,,,,,,,,,
1043,Olivia,Harris,304-762-2491,M,1957,M,Chemistry,PHD,50,50,30,25,60,1,,,,,,,,,,,,,
1044,Penelope,Lewis,304-762-2492,M,1957,S,Economics-Business,NONE,35,35,35,35,40,0,,,,,,,,,,,,,
1045,Quinn,Young,304-762-2493,M,1957,M,English,JD,900,450,200,200,175,1,,,,,,,,,,,,,
1045,Ruby,King,304-762-2494,M,1957,S,Economics-Business,PHD,0,0,0,0,0,0,,,,,,,,,,,,,
1046,Sophia,Scott,304-762-2495,F,1957,M,Education,NONE,0,30,25,50,0,1,,,,,,,,,,,,,
1047,Taylor,Adams,304-762-2496,M,1957,M,History,NONE,0,500,0,0,0,1,,,,,,,,,,,,,
1048,Victoria,Green,304-762-2497,F,1957,M,History,JD,250,250,202,160,300,1,,,,,,,,,,,,,
1049,Willow,Moore,304-762-2498,M,1957,M,Biology,PHD,200,250,225,200,0,1,,,,,,,,,,,,,
1050,Zoey,Parker,304-762-2499,M,1957,M,Music,MA,100,0,0,100,0,0,,,,,,,,,,,,,
1051,Addison,Carter,304-762-2500,M,1957,M,Chemistry-Zoology,UBDS,0,1000,0,250,0,1,,,,,,,,,,,,,
